Recipe,Multiplier
hotair-tin-plate-3,2.2777023521486065e-08
syngas-from-hydrogen-1,0.00016049169359862351
capacitor3,0.0020023208695845013
diode3,0.0014399416670499497
pcb3-2,0.023214743959657825
processor,5.742276399523844e-06
resistor3,0.00023377714602087926
kondo-core,1.4683421312470505e-06
kondo-substrate,0.0012986398510650718
heavy-p-type,0.13649616309474996
light-n2,0.0002515727156179355
nichrome-2,0.0013538349271822894
cermet,0.0033989597202644
cadaveric-arum-4-msa,0.00011607598240477603
supercapacitor-core,0.48529384560291206
molten-solder-3,8.048082584370708e-06
coal-pulp-04,2.6714876272366435
auog-paddock-mk01-with-dirt,0.16000617580903578
auog-paddock-mk04-with-dirt,0.061324206892396566
yotoi-fruit-4-nutrient,0.40572097431297083
ralesia-seeds-paper-towel,0.0485076906997125
manure-to-crude,21.143830787449794
coalbed-gas-to-hydrogen,0.03313228639198658
simik-aluminium,4.855135376786355e-05
olefin,2.9569980340116602e-05
stripped-distillate-to-light-oil,0.03608468935019253
rejects-separation,0.9540914033093628
silicon-wafer-3,0.0016167644029568748
gas-bladder-to-phophine-gas,1.4198439057305612e-05
ethanol,7.583745390946236e-07
steel-20,0.04774013439138149
tuuphra-grease,0.0006403940165490213
pbsb-alloy-2,8.721486560938556e-07
Depleted-uf6-to-u-oxide,0.004019900813010946
artifical-insemination,36.1245259910744
print-fat-immunosupressants,0.07493166584195021
cage-antelope,8.134805396494679
solder,0.00043969951212566825
ralesia-2-hydrogen-burn,0.006867969348696448
extract-gas-from-coalbed-4,0.004210591749922932
gasoline-cellulose,2.489114761397077e-05
Phadai-Dance-Dance-Revolution-3-piezoelectric,0.0007841815197939878
crystallographic-substrate,0.004784590704468662
sb-oxide-04,0.00039107244679486387
hotair-chromium-02,0.003673614482878487
nylon2,9.827283247582497e-05
aluminium-plate-3,0.0002015881435351796
nanofibrils-2,0.05232920756599005
1d-photonic-crystal,2.5455662131563592
lithium-niobate,3.2597688091989684e-05
lead-plate-3,1.665485328262787e-05
copper-plate-1,2.9739602626830423e-05
super-alloy,0.09717174222955559
filtration-media-2-nanofibril-turd,1.5806932769509463e-05
flask-3,0.46215891117866503
ammonia-from-cyanic,4.478839930700014e-05
nexelit-plate-3,0.0006575895562331
hotair-silver-plate-3,1.343263954612207e-05
sodium-sulfate-1,0.0026665921287276828
tholin-to-acetylene,2.451441853152933
kevlar,0.00010683111909853277
chitosan,0.0009023758572259593
duralumin-1,0.005005923318198758
stainless-steel,2.5170399079878325
sulfuric-petgas,0.4105895710104469
agzn-alloy-2,0.00012958687386640546
gold-plate,0.013669222163744926
nbti-alloy,8.286510793892303e-05
pa-vanadium2,0.2767044693422604
silicon,1.2232378138106118e-06
plastic3,3.105969568594757e-06
quenching-dirty-syngas,0.0001849400393124684
diborane,3.0760922179145306e-06
gas-bladder-to-deuterium,0.00846671097423763
silver-foam,6.367052391406067
urea-from-liquid-manure,3.3014620837656545e-05
molten-glass,0.005787306429720341
epoxy,0.009930428361135111
aromatics-2-petgas2,8.08268405072059
warmer-air-2,0.037960435962167235
iron-plate-1,9.84216969705009
nexelit-matrix,0.00047919925175881863
cobalt-extract,0.0028553215598276917
lead-container,4.419706441025983e-05
nas-battery,2.200732677571366
electronic-circuit,2.6123690514814123e-06
mukmoux-calf-3-microchip,3.678525048363453e-05
molybdenum-plate,1.2943644609814507e-05
titanium-plate-3,0.00033845156309796835
chlorine,1.2263277099158727
manure-bacteria,2.3330451056647343e-05
