recipe_name,multiplier
chromite-concentrate,0.00035413277778217005
al-pulp-02,0.0003508444671897021
al-pulp-01,0.00034988027763448247
ac-oxygenated,0.000339847548737735
agal-alloy,0.0003372795969154773
steel-20,0.0003358155647410261
dry-ralesia,0.00033080180261126806
lithium-niobate,0.0003289681389840053
dhilmos-inproved-5,0.00032755273037352267
soot-to-aluminium,0.0003252672282246676
phagnot-improved-7,0.0003218567359658378
subcritical-water-02,0.0003172636146238758
worm,0.0003079181825936834
crude-salt,0.00030343966644810923
vpulp-precip,0.00030089976774943573
ex-blo-vrauks,0.00029841163051282397
etching,0.00029596348479663144
peptidase-m58,0.00029240795293973955
stripped-th,0.00029084454507822513
solvent-separation,0.0002780396350626995
aromatics-to-lubricant,0.00027726900802261655
sc-substrate,0.0002766878937729303
ulric-improved-3,0.00026730565461116954
nanochondria,0.0002663027949909132
pre-fiber-1,0.0002660228897887279
nxsb-alloy,0.00026485971334275243
hydraulic-system-mk01,0.0002632082615268274
sb-pulp-02,0.00026111574863700533
molten-tin-04,0.0002604346426112167
hbr,0.00025969094834303824
ex-gut-ulr,0.0002596813778528926
pre-fiber-2,0.000257742090377983
lard-from-brains,0.00025768582980657085
ulric-improved-1,0.0002574959978214619
re-precipitate-01,0.0002574865838101635
americium-reduction,0.0002549118464109772
sodium-chlorate,0.0002520555104550202
acid-solvent,0.0002485410224054906
chloroauric-acid,0.00024154889458845077
crude-cermet,0.00023740331096093535
light-n,0.000235803085747015
ulric-improved-7,0.00023362022960695956
myoglobin,0.0002269592397245855
vanadium-concentrate,0.00022669155039803208
deposited-core,0.00022664768106970697
slacked-lime-void,0.00022357993941990169
mother-liquor-prime,0.0002162097984038997
sc-wire,0.00021207885453327434
powdered-quartz,0.00020629925540039206
silica-shell,0.00019880423134740796
nexelit-battery,0.0001936603379400546
ulric-improved-11,0.00019316513269129035
dingrits-improved-3,0.00019239644383948264
pre-fiber-3,0.00018872169247257354
aramid-2,0.00018846915532361554
rpc-mesh,0.00018542452940282524
sb-crushed,0.00018528799554367676
teos,0.00018506146562265703
mova-pulp3,0.00018280163423729415
optical-fiber,0.00018172334212946076
calcinate-separation,0.00018059407195976533
cobalt-sulfate,0.00017971762237348172
molten-chromium-02,0.00017970351477463446
capacitor2,0.00017453536504115382
pre-enzyme,0.00017273021782156038
th-dust,0.00016838842095102854
dcm,0.0001682224358822418
r3,0.00016786619534062052
fertilizer-fish-1,0.00016641133936649006
antimony-phosphate,0.0001648162103013509
ulric-improved-9,0.00016404383631102038
silver-foam,0.00016226444046737705
guar-nb,0.00016049617398579362
microchip,0.0001583248862355739
purex-raffinate-3,0.00015537954784911056
r4,0.00015145295461349304
super-steel,0.0001464796211450485
molten-copper-01,0.0001463087587555981
raw-ralesia-extract,0.00014625867574444946
filtration-media-3,0.00014577708679496502
vpulp5,0.00014186508205589064
sodium-citrate,0.00014164251933798506
cridren-1,0.00014091415346902542
gearbox-mk03,0.00013773163369762482
r2,0.00013446060676637695
pa-niobium,0.00013356426990892407
nisi,0.00013050620701860887
prepared-chromium,0.00012840265121133443
vpulp4,0.00012828465485740793
resilin,0.00012417221690678285
powdered-aluminium,0.00012305485707218082
chromium-rejects,0.00012013165032474653
